01-14 19:29:18.399 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=162.2 MB OOM!
01-14 19:29:17.678 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=162.2 MB OOM!
01-14 19:29:19.801 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=162.2 MB OOM!
01-14 19:29:17.678 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=124.1 MB OOM!
01-14 19:29:19.801 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=162.2 MB OOM!
01-14 19:29:19.801 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=124.1 MB OOM!
01-14 19:29:21.289 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=124.2 MB OOM!
01-14 19:29:21.289 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=162.3 MB OOM!
01-14 19:29:21.289 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=162.3 MB OOM!
01-14 19:29:21.997 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:242.8 MB + FREE:89.0 MB == MEM_MAX:910.5 MB), desiredKV=124.3 MB OOM!
01-14 19:29:21.997 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.8 MB + FREE:89.0 MB == MEM_MAX:910.5 MB), desiredKV=124.3 MB OOM!
01-14 19:29:24.858 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.8 MB + FREE:89.0 MB == MEM_MAX:910.5 MB), desiredKV=162.5 MB OOM!
01-14 19:29:24.858 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.8 MB + FREE:89.0 MB == MEM_MAX:910.5 MB), desiredKV=162.5 MB OOM!
01-14 19:29:24.858 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.8 MB + FREE:89.0 MB == MEM_MAX:910.5 MB), desiredKV=162.5 MB OOM!
01-14 19:29:26.268 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.8 MB + FREE:89.0 MB == MEM_MAX:910.5 MB), desiredKV=162.5 MB OOM!
